year,serial,month,cpsid,asecflag,asecwth,statefip,hhincome,pernum,cpsidp,cpsidv,asecwt,age,sex,race,marst,vetstat,famsize,nchild,nchlt5,ftype,yrimmig,citizen,nativity,hispan,empstat,occ2010,ind,classwkr,educ,diffany,wkswork1,uhrsworkly,pension,firmsize,ftotval,inctot,incwage,incbus,incss,incretir,incint,incdivid,incrent,ctccrd,actccrd,adjginc,eitcred,fedtaxac,fica,filestat,depstat,margtax,taxinc,spmwt,spmfedtaxac,spmftotval,spmfamunit,eff_rate
2024,119,3,20240200364700,1,1250.13,23,149268,1,20240200364701,202402003647011,1250.13,74,2,100,1,1,2,0,0,1,0,1,3,0,36,9999,0,0,123,1,0,999,0,0,149268,80569,0,0,4690,0,41000,0,0,0,0,142894,0,15298,0,3,0,22,112194,1250.13,15298.0,149268,151001,10.705837893823393
2024,124,3,20230300358100,1,1575.19,23,91290,1,20230300358101,202303003581011,1575.19,70,1,100,6,1,1,0,0,2,0,1,1,0,10,3910,7680,13,92,1,52,15,1,1,91290,91290,2000,80003,9276,0,10,0,0,0,0,82497,0,7064,11457,5,0,22,53438,1575.19,7064.0,91290,156001,8.56273561462841
2024,140,3,20221202732600,1,1424.25,23,79964,1,20221202732601,202212027326011,1424.25,85,2,100,5,1,1,0,0,2,0,1,1,0,36,9999,0,0,81,2,0,999,0,0,79964,79964,0,0,29122,0,24000,1842,25000,0,0,76206,0,8490,0,5,0,22,60506,1424.25,8490.0,79964,175001,11.140855050783403
2024,144,3,20240300366400,1,1757.46,23,115168,1,20240300366401,202403003664011,1757.46,63,1,100,1,2,4,0,0,1,0,1,1,0,36,9999,0,0,73,1,40,40,1,2,115168,62200,62000,0,0,0,200,0,0,0,0,81815,0,6054,4743,1,0,12,54115,1757.46,6054.0,115168,179001,7.39962109637597
2024,146,3,20230200358500,1,1127.95,23,79390,1,20230200358501,202302003585011,1127.95,85,2,100,5,1,1,0,0,2,0,1,4,0,36,9999,0,0,81,1,0,999,0,0,79390,79390,0,0,32124,7000,4266,0,0,0,0,56715,0,4702,0,5,0,12,41015,1127.95,4702.0,79390,181001,8.290575685444768
2024,147,3,20240305620500,1,1309.39,23,120011,1,20240305620501,202403056205011,1309.39,64,2,100,1,1,2,0,0,1,0,1,1,0,34,9999,0,0,81,2,0,999,0,0,120011,5010,0,0,0,0,10,0,0,0,0,120011,0,10593,0,2,0,22,90811,1309.39,10593.0,120011,182001,8.826690886668723
2024,151,3,20240200364800,1,1250.13,23,102969,1,20240200364801,202402003648011,1250.13,72,1,100,1,1,2,0,0,1,0,1,2,0,12,2720,7590,13,73,1,52,15,1,1,102969,57349,0,40000,2600,0,7932,0,0,0,0,99753,0,6954,5652,3,0,12,61618,1250.13,6954.0,102969,186001,6.971218910709452
2024,152,3,20240200366600,1,1327.13,23,75312,1,20240200366601,202402003666011,1327.13,59,2,100,1,1,2,0,0,1,0,1,1,0,36,9999,0,0,73,1,0,999,0,0,75312,41611,0,0,0,20000,11,0,0,0,0,75312,0,5093,0,2,0,12,46112,1327.13,5093.0,75312,187001,6.762534523050776
2024,153,3,20240100359900,1,1229.7,23,37201,1,20240100359901,202401003599011,1229.7,75,2,100,5,1,1,0,0,2,0,1,1,0,36,9999,0,0,73,1,0,999,0,0,37201,37201,0,0,22800,0,1,0,0,0,0,14802,0,0,0,5,0,0,0,1229.7,0.0,37201,188001,0.0
2024,156,3,20240200367100,1,1212.87,23,60324,1,20240200367101,202402003671011,1212.87,65,2,100,1,1,2,0,0,1,0,1,1,0,36,9999,0,0,73,1,1,8,1,1,60324,12074,0,130,11544,0,200,200,0,0,0,24056,0,0,0,3,0,0,0,1212.87,0.0,60324,192001,0.0
2024,158,3,20221202732900,1,1631.96,23,130312,1,20221202732901,202212027329011,1631.96,62,1,100,1,1,2,0,0,1,0,1,2,0,10,1050,5790,21,92,1,52,40,1,7,130312,60000,60000,0,0,0,0,0,0,0,0,128015,0,12354,4590,2,0,22,98815,1631.96,12354.0,130312,194001,9.65043159004804
2024,160,3,20240300368700,1,918.19,23,32542,1,20240300368701,202403003687011,918.19,45,2,100,6,1,2,1,0,1,0,1,1,0,10,6730,770,28,81,1,52,35,1,1,32542,32542,23000,0,9539,,3,0,0,359,1600,24389,3543,-5143,1760,4,0,10,3589,918.19,-5143.0,32542,196001,-21.087375456148262
2024,161,3,20240200364900,1,1719.32,23,50000,1,20240200364901,202402003649011,1719.32,38,1,100,1,1,3,1,0,1,0,1,1,0,10,8920,770,21,73,1,52,40,3,9,50000,50000,50000,0,0,,0,0,0,2000,0,50000,499,-263,3825,1,0,12,22300,1719.32,-263.0,50000,197001,-0.526
2024,162,3,20240300368800,1,918.19,23,332010,1,20240300368801,202403003688011,918.19,45,2,100,1,1,3,1,0,1,0,1,1,0,10,4810,6992,21,92,1,50,40,1,7,332010,267000,97000,70000,0,,0,0,0,2000,0,320000,0,42112,19811,1,0,24,238802,918.19,42112.0,332010,198001,13.16
2024,165,3,20241300016500,1,1977.76,23,65058,1,20241300016501,202413000165011,1977.76,28,1,100,1,1,3,1,0,1,0,1,1,0,10,6050,170,21,73,1,52,45,3,1,65058,39057,39000,0,0,,7,50,0,2000,0,65058,0,2037,2984,1,0,12,37358,1977.76,2037.0,65058,203001,3.131052291801162
2024,166,3,20241300016600,1,757.22,23,77351,1,20241300016601,202413000166011,757.22,66,2,100,4,1,4,1,0,1,0,1,1,0,10,7840,5391,21,73,1,52,40,3,9,77351,38086,38000,0,0,0,86,0,0,0,0,38086,0,2466,2907,5,0,12,22386,757.22,-1042.0,77351,204001,6.474820143884892
2024,166,3,20241300016600,1,757.22,23,77351,2,20241300016602,202413000166021,1889.1,34,1,100,1,1,4,1,0,3,0,1,1,0,10,5240,5391,21,73,1,30,32,2,9,39265,35400,30000,0,2200,,0,0,3000,983,1017,37533,2491,-3508,2295,1,0,10,9833,757.22,-1042.0,77351,204001,-9.346441797884527
2024,168,3,20231300019400,1,2340.1,23,5026,1,20231300019401,202313000194011,2340.1,55,1,802,1,1,4,2,0,1,0,1,1,0,12,8550,5680,13,73,1,52,40,1,1,5026,5026,0,5000,0,,26,0,0,0,375,4673,1859,-2234,706,1,0,0,0,2340.1,-2234.0,5026,206001,-47.80654825593837
2024,169,3,20241300016900,1,2048.37,23,58103,1,20241300016901,202413000169011,2048.37,39,1,100,1,1,4,2,0,1,0,1,1,0,10,205,170,13,111,1,50,40,1,1,58103,45607,0,0,0,,3607,2000,0,1966,2034,56276,674,-2708,5652,1,0,12,23660,2048.37,-2708.0,58103,207001,-4.8119980098088
