unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip,eff_rate,asecwt
66298.0,0.0,0.0,0.0001508341126429153,0.0,0.0,0.447796313614287,0.0,0.0,66,1,0,2,4,5,45,7.216466923962353,1464.89
14552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,3,5,6,17,0.4810335349092908,5703.19
15000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,2,5,6,19,0.7666666666666666,3064.81
165774.0,0.0,0.0,1.2064618094514219e-05,0.0,0.0,0.007238770856708531,0.0,0.9893469422225439,85,0,0,2,1,1,39,12.042706861359711,3425.24
65462.0,0.0,0.0,0.0015428798386850386,0.0,0.0,0.0,0.0,0.23465521982218693,62,0,0,2,1,1,32,5.585374581178231,1263.95
38415.0,0.7809449433814916,0.0,0.0003904724716907458,0.0,0.0,0.0,0.0,0.0,59,2,0,3,4,4,34,1.4059636848242545,4769.07
122800.0,0.8550488599348535,0.0,0.11156351791530944,0.019543973941368076,0.0,0.0,0.0,0.013843648208469055,50,1,0,3,1,1,56,8.16453537936914,184.21
191059.0,0.497228604776535,0.0,0.0055218545056762575,0.0,0.0,0.0,0.0,0.49724954071778876,39,0,0,2,1,1,40,13.898324601301168,1989.13
75269.0,0.02391422763687574,0.0,0.0008635693313316239,0.0,0.0,0.015464533871846311,0.0,0.0,66,0,0,1,5,4,29,16.9517451425619,1790.4
205085.0,0.0,0.0,0.031699051612745936,0.0,0.09752054026379306,0.11280688495014263,0.0,0.7579735231733183,75,0,0,4,1,1,40,11.727939304445236,1811.58
102363.0,0.0,0.0,0.005881031231988121,0.000976915487041216,0.08792239383370945,0.35559723728300263,0.07033791506696756,0.47928450709729103,76,0,0,2,1,1,15,5.747317014349451,452.23
46328.0,0.9281643930236574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3,0,4,4,4,28,-5.206976744186047,1053.52
112718.0,0.8161961709753545,0.0,0.0007186074983587359,0.017743395021203357,0.0,0.0,0.0,0.15370215937117407,53,4,1,7,1,1,2,1.731272383143753,474.41
162738.0,0.0,0.0,0.038098047167840335,0.0015362115793484004,0.3072423158696801,0.24694908380341407,0.0,0.1480907962491858,75,0,0,2,1,1,48,11.485142076858052,2554.91
44001.0,0.9999772732437899,2.2726756210086133e-05,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0,1,5,4,24,7.722551760187269,3506.31
52000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,3,5,6,17,8.38076923076923,2725.34
63835.0,0.0,0.0,0.341035482102295,0.4542962324743479,0.0,0.0,0.06863006187827994,0.13603822354507716,68,0,0,2,1,1,36,0.6576146094526186,3783.04
84960.0,0.4708097928436911,0.0,0.0,0.0,0.0,0.023540489642184557,0.0,0.3531073446327684,71,1,0,3,1,1,30,1.8789808917197452,486.2
31000.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,5,6,47,4.472,4720.96
44500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,2,5,6,5,7.770786516853932,2035.55
53726.0,0.3257268361687079,0.0,0.04359155716040651,0.0,0.0037225924133566617,0.35271563116554366,0.0,0.27424338309198526,73,0,0,2,1,1,27,0.0,4602.05
41810.0,0.04783544606553456,0.0,0.0003587658454915092,0.0,0.0,0.2342740971059555,0.0,0.4592202822291318,69,0,0,2,1,1,6,0.0,1639.45
30000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,2,5,6,1,5.726666666666667,2391.61
49944.0,0.0,0.0,0.0,0.0,0.0,0.5682364247957713,0.0,0.0,77,0,0,2,5,6,25,4.365813826891672,1191.61
21804.0,0.0,0.91726288754357,0.023115024766097964,0.05962208769033205,0.0,0.0,0.0,0.0,36,0,0,4,5,6,22,2.025035039389106,960.33
81433.0,0.5157614235015289,0.0,0.00040524111846548696,0.0,0.0,0.4347131998084315,0.0,0.0,69,0,0,1,5,5,1,11.833056675361632,1804.75
15000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,6,5,6,6,-0.58,4051.33
22565.0,0.0,0.0,0.00044316419233325947,0.0,0.0,0.9109239973410148,0.0,0.0,71,0,0,1,5,5,5,0.0,751.46
53408.0,0.9361893349310965,0.0,0.00014979029358897544,0.0,0.0,0.0,0.0,0.0,44,1,0,2,4,4,45,3.5516269769132887,1478.85
16200.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,85,0,0,1,5,5,28,0.0,1126.84
146560.0,0.4462336244541485,0.0,0.0,0.0,0.0,0.0,0.0,0.5162390829694323,51,3,0,5,1,1,25,7.422608695652173,1676.93
35001.0,0.9999714293877318,0.0,2.8570612268220908e-05,0.0,0.0,0.0,0.0,0.0,23,0,0,6,5,6,34,6.622667923773607,2386.25
33001.0,0.9696675858307324,0.0,0.0303324141692676,0.0,0.0,0.0,0.0,0.0,50,1,0,3,4,4,53,-4.384715614678343,1609.95
30000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,3,5,6,6,5.726666666666667,1782.91
50157.0,0.0,0.9968698287377634,0.0030902964690870667,3.987479314951054e-05,0.0,0.0,0.0,0.0,59,0,0,1,5,6,17,6.275603217158176,2841.39
60006.0,0.9999000099990001,0.0,9.999000099990002e-05,0.0,0.0,0.0,0.0,0.0,25,1,1,3,5,6,54,9.102423091024232,837.44
105205.0,0.6368518606530108,0.0,0.009552777909795161,0.011406301981844969,0.0,0.0,0.17109452972767453,0.0,63,0,0,1,5,6,19,13.7932330473837,2362.17
14100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,4,5,6,13,0.1773049645390071,4017.11
230100.0,0.43459365493263796,0.0,0.000434593654932638,0.0,0.0,0.0,0.0,0.5649717514124294,63,0,0,2,1,1,15,15.374185136897,534.54
127903.0,0.6489292667099286,0.0,1.5636849800239245e-05,0.0,0.0,0.0,0.0,0.019553880675199174,54,1,0,3,1,1,34,8.167592214750812,2779.7
35010.0,0.0,0.9997143673236218,0.00028563267637817766,0.0,0.0,0.0,0.0,0.0,44,0,0,2,1,1,21,1.189415127393429,2028.41
17748.0,0.0,0.0,0.0005634437683119225,0.0676132521974307,0.0,0.861392832995267,0.0,0.0,77,0,0,1,5,6,29,0.0,5857.74
151236.0,0.8926446084265651,0.0,0.030158163400248617,0.00033060911423206114,0.0,0.0,0.0,0.07686661905895421,34,1,1,3,1,1,26,10.042189628493208,5102.7
42000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,1,7,5,6,40,7.51904761904762,2329.18
156300.0,0.0,0.28790786948176583,0.0,0.0,0.0,0.0,0.0,0.7120921305182342,39,1,0,3,1,1,35,9.38342879160925,629.03
204300.0,0.25942241801272636,0.0,0.03010279001468429,0.014684287812041116,0.0,0.0,0.0,0.6957905041605482,34,2,2,4,1,1,20,11.672540381791482,1877.27
22296.0,0.0,0.0,0.0,0.0,0.0,0.6770721205597416,0.0,0.0,75,0,0,1,5,5,37,0.0,2008.2
30290.0,0.994717728623308,0.0,0.0009904258831297458,0.0,0.0,0.0,0.0,0.0,29,0,0,1,5,6,48,5.7592838196286475,2554.46
131245.0,0.0,0.9905139243399749,0.0,0.0,0.0,0.0,0.0,0.009486075660025144,44,2,0,4,1,1,46,3.731627068763124,342.65
45601.0,0.0,0.0,0.0,0.0,0.0,0.22157408828753755,0.0,0.5552729106817833,56,2,0,4,1,1,54,-35.031610264038676,731.84
45518.0,0.0,0.0,0.07693659651127027,0.0109846654070917,0.03734786238411178,0.47295575376774024,0.0,0.20932378399753943,72,0,0,2,1,1,48,0.0,4080.53
42494.0,0.7765802230903186,0.0,4.706546806607992e-05,0.0,0.0,0.0,0.0,0.0,53,1,0,2,4,4,33,-8.929761832616204,542.84
55000.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,44,0,0,3,1,1,32,5.156363636363636,1213.42
80300.0,0.49813200498132004,0.0,0.0,0.0,0.0,0.0,0.0,0.50186799501868,29,2,2,4,1,1,48,2.331257783312578,1991.26
149425.0,0.5353856449723942,0.0,0.014890413250794713,0.0,0.0,0.0,0.0,0.44972394177681113,52,0,0,3,1,1,37,9.901288271708216,3120.66
31200.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0,1,5,4,6,5.967948717948718,2499.95
575523.0,0.0,0.0,0.01739635079744858,0.08687750098605963,0.0,0.0,0.0,0.8957261482164918,64,0,0,2,1,1,12,21.515717301810287,4765.31
21709.0,0.0,0.0,4.606384448846101e-05,0.0,0.0,0.8125662167764521,0.0,0.0,85,0,0,1,5,5,36,0.0,3972.87
45000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1,1,3,1,1,6,-3.484444444444444,1899.6
50000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,0,4,5,3,47,8.236,2591.14
104002.0,0.9999807696005846,0.0,1.923039941539586e-05,0.0,0.0,0.0,0.0,0.0,45,2,0,4,4,4,53,6.773908194073192,2276.51
215601.0,0.41743776698623847,0.0,4.638197410958205e-06,0.0,0.0,0.1558434330081957,0.0,0.42671416180815486,69,0,0,2,1,1,17,6.770484562668301,3568.75
81000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,0,1,5,6,36,10.080246913580249,3104.93
21581.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,1,5,6,19,3.581854408970854,3272.75
102540.0,0.0,0.0,0.0009752291788570314,0.0,0.07801833430856252,0.1369221767115272,0.0,0.7840842598010532,66,0,0,2,1,1,35,7.893741163351057,490.68
74000.0,0.9459459459459459,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,26,0,0,1,5,6,13,11.145945945945943,5484.97
120167.0,0.5783617798563666,0.0,0.005625504506228831,0.0,0.0,0.0,0.0,0.4160127156374046,43,1,0,4,1,1,17,8.116084604033448,2084.92
105002.0,0.41903963734024113,0.0,0.009523628121369117,0.0,0.0,0.0,0.0,0.5714367345383897,34,0,0,2,1,1,12,8.415077808041751,2694.99
135000.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,53,1,0,3,1,1,13,10.163703703703703,4560.08
236650.0,0.3380519754912318,0.0,0.03612930488062539,0.0,0.0,0.0,-0.006338474540460596,0.6321571941686034,46,2,0,4,1,1,53,13.92267061060638,1877.55
84003.0,0.7023558682428008,0.2976084187469495,3.571301024963394e-05,0.0,0.0,0.0,0.0,0.0,32,0,0,5,5,6,36,11.007210866155138,8176.06
100615.0,0.0,0.0,0.0,0.0,0.0,0.3241564379068727,0.0,0.4969437956567112,64,1,0,3,1,1,13,6.978295380264404,3010.75
50638.0,0.9874007662229946,0.0,0.012599233777005411,0.0,0.0,0.0,0.0,0.0,71,0,0,1,5,6,15,7.845886488407914,505.33
184050.0,0.293398533007335,0.0,0.00013583265417006248,0.0,0.0,0.0,0.0,0.706465634338495,53,2,0,4,1,1,18,11.416462917685411,2493.8
52410.0,0.0,0.0,0.03816065636328945,0.0,0.0,0.27475672581568406,0.0,0.6870826178210265,65,0,0,2,1,1,5,3.516951974955039,974.4
96019.0,0.32285276872285695,0.0,0.00017704829252543767,0.0,0.0,0.0,0.0,0.6769701829846176,60,1,0,3,1,1,48,8.079650902425561,2036.33
49068.0,0.0,0.0,0.22621667889459526,0.0,0.0,0.7737833211054047,0.0,0.0,67,0,0,1,5,4,41,0.0,2908.62
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,2,5,6,9,-7.642626480086114,1617.9
260514.0,0.4491121398466109,0.0,3.8385652978342815e-06,0.0,0.0,0.0,0.0,0.5508840215880912,63,1,0,3,1,1,46,16.381077408507796,824.95
145480.0,0.5499037668408029,0.0,0.0020621391256530107,0.0,0.0,0.0,0.0,0.4480340940335441,56,0,0,4,1,1,47,8.610805609018422,2555.26
329207.0,0.34932428532807624,0.0,0.0027429550404456772,3.0376024811137065e-06,0.0,0.0,0.0,0.6479297220289969,40,0,0,2,1,1,11,17.85866057847582,364.32
29005.0,0.9998276159282882,0.0,0.00017238407171177384,0.0,0.0,0.0,0.0,0.0,24,0,0,3,5,6,42,5.512842613342527,6029.47
38600.0,0.09326424870466321,0.0,0.0,0.0,0.0,0.0,0.0,0.9067357512953368,30,2,1,8,1,1,48,-18.9300518134715,2262.18
107212.0,0.036376525015856434,0.0,0.006258627765548632,0.0,0.0,0.0,0.05596388463977913,0.882746334365556,45,4,0,6,1,1,25,2.1881692285727885,1628.94
76000.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,79,0,0,1,5,5,12,9.448382126348228,3878.69
