inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
108001,0.8425847908815659,0.0,0.05555504115702632,0.009259173526171054,0.0,0.0,0.09259173526171054,23,0,0,1,5,6,23,14.769657724329324,2560.12
15706,0.0,0.0,0.09722399083152936,0.012733987011333249,0.0,0.8900420221571373,0.0,85,0,0,2,3,1,23,0.0,1107.88
34200,0.43859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,63,1,0,2,5,5,23,6.497076023391813,1663.67
2000,0.5,0.0,0.5,0.0,0.0,0.0,0.0,40,0,0,2,5,6,23,-3.85,4018.31
42302,0.0,0.0,0.021322868895087704,0.0,0.3545931634438088,0.0,0.0,85,1,0,3,5,5,23,0.1257703433530373,1515.96
3840,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1,0,3,5,6,23,-7.656250000000001,2732.97
28000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,3,5,6,23,5.2785714285714285,2520.17
221630,0.9024049090827054,0.0,0.000676803681812029,0.0,0.0,0.09691828723548256,0.0,67,0,0,2,3,1,23,14.5025376692146,1392.88
19069,0.0,0.0,0.009963815616969952,0.0,0.1311028370653941,0.8589333473176359,0.0,80,0,0,1,5,5,23,0.0,1564.31
14000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77,1,0,3,5,5,23,0.0,601.57
16000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1,0,3,4,6,23,-34.96875,1013.63
81079,0.8633554927909817,0.0,0.011457960754326028,0.0,0.0,0.0,0.0,48,1,0,2,4,4,23,5.217893950288317,948.59
37192,0.0,0.0,0.25467842546784253,0.0,0.0,0.7453215745321574,0.0,68,0,0,2,3,1,23,18.419867499362457,1778.15
9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0,1,5,2,23,0.0,1264.07
56007,0.6249218847644045,0.3749531308586427,0.00012498437695288088,0.0,0.0,0.0,0.0,23,0,0,2,1,1,23,5.732267140530134,3136.47
154300,0.9721322099805574,0.0,0.025275437459494492,0.002592352559948153,0.0,0.0,0.0,31,0,0,2,1,1,23,12.41849489720104,3030.47
25000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,0,2,5,6,23,4.472,2881.42
71000,0.9859154929577465,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,40,0,0,2,5,6,23,11.1,2881.42
38001,0.9999736849030288,0.0,2.6315096971132338e-05,0.0,0.0,0.0,0.0,32,0,0,1,5,6,23,7.047182968869241,1161.35
51093,0.9223964143816178,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0,2,4,6,23,1.792989305720591,1844.38
26001,0.9999615399407715,0.0,0.0,3.846005922849121e-05,0.0,0.0,0.0,32,2,0,4,1,1,23,-13.051494512168668,1788.62
51422,0.0,0.0,7.778771731943526e-05,0.0,0.0,0.4611061413402824,0.0,85,0,0,2,3,1,23,0.0,1362.92
28824,0.3469331112961421,0.0,0.003469331112961421,0.0013877324451845685,0.0,0.6482098251457119,0.0,60,1,0,2,4,4,23,-5.660749506903353,2302.48
