unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip
170841.0,0.3277901674656552,0.0,0.0236535726201555,0.0,0.0040973770933206,0.0,0.0,0.6444588828208685,62,1,0,3,1,1,34
52000.0,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,54,1,0,4,1,1,48
102000.0,0.5784313725490197,0.0,0.0,0.0,0.0,0.0,0.0,0.4215686274509804,59,0,0,2,1,1,6
26000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,5,5,6,10
153102.0,0.0,0.0,0.0032657966584368,0.0065315933168737,0.0,0.0,0.0653159331687371,0.6636229441810035,54,2,0,4,1,1,27
37000.0,0.3243243243243243,0.0,0.0,0.0,0.0,0.0,0.0,0.6756756756756757,26,2,1,4,1,1,30
25000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,1,5,6,49
110210.0,0.3629434715543054,0.0,0.0,0.0,0.0,0.0,0.0,0.4628436620996279,39,2,0,4,1,1,48
86000.0,0.5813953488372093,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.4069767441860465,38,2,0,4,1,1,11
153420.0,0.4888541259288228,0.0,0.0040151218876287,0.0019554165037152,0.0,0.0,0.0,0.5051753356798332,54,0,0,2,1,1,40
85600.0,0.9929906542056076,0.0,0.0070093457943925,0.0,0.0,0.0,0.0,0.0,49,0,0,1,5,4,9
46082.0,0.0,0.0,4.34008940584176e-05,0.0,0.0,0.4635215485439,0.0,0.0,77,0,0,1,5,5,1
64480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,2,5,6,22
29462.0,0.6109564863213631,0.0,6.788405403570701e-05,0.0,0.0,0.0,0.0,0.0,66,1,0,2,4,4,48
61100.0,0.9819967266775778,0.0,0.011456628477905,0.0065466448445171,0.0,0.0,0.0,0.0,27,0,0,1,5,6,25
75103.0,0.9986285501244956,0.0,3.994514200497983e-05,0.0,0.0,0.0,0.0,0.0013315047334993,25,1,1,3,1,1,41
60000.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,24,0,0,2,1,1,40
155090.0,0.0,0.7737442775162808,0.0005803082081372,0.0,0.0,0.0,0.0,0.2256754142755819,40,1,1,3,1,1,12
72152.0,0.9978933362900544,0.0,0.0021066637099456,0.0,0.0,0.0,0.0,0.0,33,2,2,4,1,1,29
28498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,1,1,3,1,1,34
185900.0,0.5379236148466918,0.0,0.0268961807423345,0.0053792361484669,0.0,0.0,0.0,0.1780527165142549,31,0,0,2,1,1,48
263342.0,0.5316280730001292,0.0,0.2013389432752846,0.0,0.0,0.0,0.0,0.2670329837245863,55,2,0,4,1,1,12
28030.0,0.9989297181591152,0.0,0.0010702818408847,0.0,0.0,0.0,0.0,0.0,20,0,0,3,5,6,23
106730.0,0.655860582778975,0.0,0.0002810831069052,0.0,0.0,0.134919891314532,0.0,0.0,35,1,0,2,4,6,35
12886.0,0.0,0.0,0.0949868073878627,0.0,0.0,0.0,0.0,0.9050131926121372,67,0,0,3,1,1,25
93001.0,0.2688143138245825,0.0,0.0,0.0,0.0,0.0,0.0,0.6989279685164675,32,3,1,5,1,1,28
33020.0,0.9993943064809206,0.0,0.0006056935190793,0.0,0.0,0.0,0.0,0.0,33,0,0,2,5,6,48
87505.0,0.0,0.0,1.1427918404662591e-05,0.0,0.0,0.0,0.0,0.1651105651105651,58,1,0,3,1,1,33
45090.0,0.998003992015968,0.0,0.0019960079840319,0.0,0.0,0.0,0.0,0.0,25,0,0,1,5,6,27
37290.0,0.0,0.0,2.6816840976133013e-05,0.0,0.0,0.5708769106999195,0.0,0.4290962724591043,72,0,0,2,1,1,22
70000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,6,5,4,4
9003.0,0.9996667777407532,0.0,0.0003332222592469,0.0,0.0,0.0,0.0,0.0,30,0,0,2,5,6,30
11681.0,0.9673829295437034,0.0,0.0172074308706446,0.0154096395856519,0.0,0.0,0.0,0.0,24,0,0,2,5,6,9
410606.0,0.97416988548633,0.0,0.0244784537975577,0.0013346127431162,0.0,0.0,0.0,1.7047972996010776e-05,54,0,0,2,1,1,54
20000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,3,5,6,34
184010.0,0.5977935981740122,0.0,0.0190533123199826,0.0,0.0,0.0,0.0,0.3831530895060051,63,1,0,3,1,1,17
39580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85,0,0,2,1,1,48
35720.0,0.0,0.0,0.0139977603583426,0.0,0.0,0.6500559910414334,0.0,0.0,72,0,0,1,5,4,16
60231.0,0.9961647656522388,0.0,0.0038352343477611,0.0,0.0,0.0,0.0,0.0,32,0,0,1,5,6,34
45000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,4,5,6,12
60000.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,47,1,0,3,4,4,53
216425.0,0.6006699780524432,0.0,0.0036040198683146,0.0,0.0,0.0,0.0,0.3957260020792422,39,1,0,3,1,1,28
40000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0,6,5,6,6
34776.0,0.0,0.0,0.0,0.0,0.0,0.4917184265010352,0.0,0.0,71,0,0,1,5,4,48
31852.0,0.999937209594374,0.0,6.279040562602035e-05,0.0,0.0,0.0,0.0,0.0,32,0,0,1,5,6,16
45001.0,0.999977778271594,0.0,2.2221728406035426e-05,0.0,0.0,0.0,0.0,0.0,33,2,0,4,5,6,39
285952.0,0.0139883616830796,0.6994180841539839,0.0029830181289167,0.0,0.0,0.0,0.0,0.2836105360340197,49,3,0,5,1,1,51
85000.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2,0,4,1,1,13
66800.0,0.9730538922155688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0,1,5,6,12
50033.0,0.9993404353126936,0.0,0.00015989446965,0.0004996702176563,0.0,0.0,0.0,0.0,43,0,0,2,5,6,25
121181.0,0.0,0.0,1.6504237462968617e-05,0.0,0.0,0.1450639951807626,0.0,0.0,71,0,0,3,5,4,16
85869.0,0.0,0.0,0.0567026517136568,0.0,0.0,0.6405105451327021,0.0815195239259802,0.2212672792276607,76,0,0,2,1,1,32
101063.0,0.5145305403560155,0.0,0.004076665050513,0.0,0.0,0.0,0.0,0.4596241948091784,57,0,0,2,1,1,18
63543.0,0.0,0.0,3.147474938230804e-05,0.0,0.0,0.1321939474056938,0.0,0.8592763955117008,76,1,0,5,1,1,34
124031.0,0.8223750513984407,0.0,0.1211793825737114,0.0,0.0,0.0,0.0,0.0,28,0,0,1,5,6,9
277216.0,0.3499076532379083,0.0,0.0028858363153641,0.0,0.0,0.0,0.0,0.643454923236754,38,2,0,4,1,1,16
177442.0,0.309960437776851,0.0,0.0014709031683592,0.0,0.0,0.0,0.0,0.6885686590547897,62,0,0,2,1,1,34
101750.0,0.9828009828009828,0.0,0.0171990171990172,0.0,0.0,0.0,0.0,0.0,58,0,0,1,5,4,18
70004.0,0.9999428604079766,0.0,5.713959202331295e-05,0.0,0.0,0.0,0.0,0.0,26,0,0,3,5,6,36
119205.0,0.1157669560840568,0.0,0.0001258336479174,0.0,0.0,0.2481355647833564,0.0,0.6359716454846692,80,1,0,3,1,1,35
21776.0,0.0,0.9184423218221895,0.0758174136664217,0.0,0.0,0.0,0.0,0.0057402645113886,68,0,0,2,1,1,42
122701.0,0.0,0.3667451773009185,8.1498928289093e-06,0.0,0.0,0.0,0.0285246249011825,0.60472204790507,53,0,0,2,1,1,22
36001.0,0.1666620371656343,0.0,2.777700619427238e-05,0.0,0.0,0.7999777783950446,0.0,0.0,71,0,0,4,5,5,55
35075.0,0.9978617248752673,0.0,0.0021382751247327,0.0,0.0,0.0,0.0,0.0,23,0,0,1,5,6,39
64963.0,0.9538044733155796,0.0,0.0461801333066514,1.5393377768883825e-05,0.0,0.0,0.0,0.0,49,0,0,2,5,4,13
127200.0,0.9827044025157232,0.0,0.0172955974842767,0.0,0.0,0.0,0.0,0.0,33,0,0,1,5,6,6
189800.0,0.0,0.273972602739726,0.0027660695468914,0.0026343519494204,0.0,0.0,0.0,0.7206269757639621,44,2,0,4,1,1,41
46000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,3,5,4,49
156400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8465473145780051,41,3,3,5,1,1,48
77906.0,0.0,0.0,0.0113726798962852,0.0256719636484994,0.0988370600467229,0.4112648576489616,0.0,0.0,74,0,0,1,5,5,4
1277199.0,0.0,0.0,0.0013310376848087,0.0078296334400512,0.0,0.0,0.0,0.99083932887514,35,2,0,4,1,1,38
31289.0,0.0,0.3196011377800505,0.0,0.0,0.0,0.0,0.0,0.6803988622199495,65,0,0,2,1,1,18
28000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,1,3,5,6,18
60040.0,0.9993337774816788,0.0,0.0006662225183211,0.0,0.0,0.0,0.0,0.0,30,0,0,2,5,2,31
19363.0,0.0,0.0,0.9322419046635336,0.0,0.0,0.0,0.0,0.0,33,2,2,3,4,2,2
43600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,1,5,4,12
35002.0,0.9999428604079766,0.0,5.713959202331295e-05,0.0,0.0,0.0,0.0,0.0,55,1,0,4,5,6,37
150460.0,0.8640170144889007,0.0,0.0029908281270769,0.0,0.0,0.0,0.0,0.1329921573840223,49,2,0,4,1,1,27
186020.0,0.0,0.0,0.0,0.0,0.0,0.2956671325663907,0.0,0.1667562627674443,61,0,0,2,1,1,37
50000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,2,5,4,27
254477.0,0.0,0.0,0.0630351662429217,0.0235777693072458,0.3143702574299445,0.0,0.0,0.3314091253826475,78,0,0,2,1,1,41
80001.0,0.374995312558593,0.0,0.625004687441407,0.0,0.0,0.0,0.0,0.0,60,0,0,2,5,4,44
115023.0,0.5651043704302617,0.0,0.0087547707849734,0.0,0.0,0.0,0.0,0.4261408587847647,43,2,0,4,1,1,27
40017.0,0.0,0.0,0.000424819451733,0.0,0.0,0.0,0.0,0.999575180548267,40,0,0,2,1,1,42
85925.0,0.9892347977887692,0.0,0.0107652022112307,0.0,0.0,0.0,0.0,0.0,27,0,0,2,5,6,25
35000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,4,5,6,48
152062.0,0.5733253541318672,0.0,0.0131525298891241,0.0,0.0,0.0,0.0,0.4135221159790085,37,2,0,4,1,1,30
32858.0,0.9990869803396432,0.0,0.0009130196603566,0.0,0.0,0.0,0.0,0.0,36,1,0,2,4,4,47
20001.0,0.999950002499875,0.0,4.999750012499375e-05,0.0,0.0,0.0,0.0,0.0,39,1,1,3,5,6,6
128209.0,0.7799764447113697,0.0,0.0002495924623076,0.0,0.0,0.0,0.0,0.2197739628263226,51,2,0,4,1,1,36
30285.0,0.9905894006934126,0.0,0.0094105993065874,0.0,0.0,0.0,0.0,0.0,36,0,0,2,5,6,6
75720.0,0.9904912836767036,0.0,0.0095087163232963,0.0,0.0,0.0,0.0,0.0,27,0,0,1,5,6,34
55000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,0,2,1,1,6
15000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,4,5,6,35
107788.0,0.0,0.0,9.277470590418228e-06,0.0,0.0,0.2384681040561101,0.0,0.2818031691839537,66,0,0,4,1,1,37
67431.0,0.963948332369385,0.0,0.0330856727617861,0.0029659948688288,0.0,0.0,0.0,0.0,68,0,0,1,5,4,17
60000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,1,5,4,37
62700.0,0.3827751196172249,0.0,0.0,0.0,0.0,0.4210526315789473,0.0,0.062200956937799,76,0,0,2,1,1,39
37001.0,0.9999729737034134,0.0,2.702629658657874e-05,0.0,0.0,0.0,0.0,0.0,28,0,0,1,5,6,19
225000.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,40,0,0,2,1,1,47
251210.0,0.7961466502129693,0.0,0.0048166872337884,0.0,0.0,0.0,0.0,0.1990366625532423,65,0,0,2,1,1,13
82002.0,0.999975610350967,0.0,2.4389649032950417e-05,0.0,0.0,0.0,0.0,0.0,32,3,1,5,4,6,54
307550.0,0.3251503820516989,0.0,0.0032515038205169,0.0,0.0,0.0,0.0,0.6715981141277841,40,1,1,3,1,1,11
16003.0,0.9998125351496594,0.0,0.0001874648503405,0.0,0.0,0.0,0.0,0.0,18,0,0,2,5,6,37
103846.0,0.6740750727038114,0.0,0.0009629643895768,0.0,0.0,0.0,0.0,0.3249619629066117,63,0,0,2,1,1,27
44048.0,0.9989102796948784,0.0,0.0010897203051216,0.0,0.0,0.0,0.0,0.0,59,1,0,2,4,4,15
10400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73,1,0,3,1,1,42
295007.0,0.1525387533177178,0.0,3.389750073727064e-06,0.0,0.0,0.0,0.0,0.8474578569322084,49,2,0,4,1,1,32
